,color
385,#FF69B4
386,#355E3B
387,#71A6D2
388,#FCF75E
389,#319177
390,#ED2939
391,#B2EC5D
392,#4C516D
393,#138808
394,#CD5C5C
395,#E3A857
396,#4B0082
397,#00416A
398,#130a8f
399,#FF4F00
400,#BA160C
401,#C0362C
402,#5A4FCF
403,#B3446C
404,#F4F0EC
405,#B2FFFF
406,#FFFFF0
407,#00A86B
408,#9D2933
409,#5B3256
410,#F8DE7E
411,#A50B5E
412,#343434
413,#F4CA16
414,#BDDA57
415,#29AB87
416,#4CBB17
417,#3AB09E
418,#E8F48C
419,#C3B091
420,#F0E68C
421,#882D17
422,#E79FC4
423,#6B4423
424,#354230
425,#512888
426,#D6CADD
427,#26619C
428,#FFFF66
429,#A9BA9D
430,#CF1020
431,#B57EDC
432,#E6E6FA
433,#CCCCFF
434,#FFF0F5
435,#C4C3D0
436,#7CFC00
437,#FFF700
438,#FFFACD
439,#CCA01D
440,#FDFF00
441,#F6EABE
442,#FFF44F
443,#FFFF9F
444,#545AA7
445,#ADD8E6
446,#F08080
447,#93CCEA
448,#E0FFFF
449,#C8AD7F
450,#FAFAD2
451,#D3D3D3
452,#90EE90
453,#FED8B1
454,#C5CBE1
455,#FFB6C1
456,#FFA07A
457,#20B2AA
458,#87CEFA
459,#778899
460,#B0C4DE
461,#FFFFE0
462,#C8A2C8
463,#AE98AA
464,#BFFF00
465,#00FF00
466,#32CD32
467,#195905
468,#FAF0E6
469,#C19A6B
470,#DE6FA1
471,#6CA0DC
472,#674C47
473,#B86D29
474,#6C2E1F
475,#987456
476,#6699CC
477,#FFBD88
478,#CC3336
479,#FF00FF
480,#F653A6
481,#CA1F7B
482,#D0417E
483,#FF0090
484,#9F4576
485,#AAF0D1
486,#F2E8D7
487,#C04000
488,#FBEC5D
489,#F2C649
490,#6050DC
491,#0BDA51
492,#979AAA
493,#F37A48
494,#FDBE02
495,#FF8243
496,#74C365
497,#880085
498,#EAA221
499,#C32148
500,#800000
501,#B03060
